Date,Close,High,Low,Open,Volume,ema_5,sma_5,ema_10,sma_10,ema_20,sma_20,return_1d,return_5d,rsi_14
2025-02-05,6061.47998046875,6062.85986328125,6007.06005859375,6020.4501953125,4756250000,6043.292691610719,6041.12587890625,6036.417633973271,6054.486962890625,6016.242867610705,5994.892016601562,0.003908672930614365,0.003670936193026275,55.264975907804725
2025-02-06,6083.56982421875,6084.02978515625,6046.830078125,6072.22021484375,4847120000,6056.718402480063,6043.605859375,6044.990759472449,6050.97294921875,6022.654958716233,6003.6190185546875,0.003644298722618622,0.0020424238661269634,57.06150276400836
2025-02-07,6025.990234375,6101.27978515625,6019.9599609375,6083.1298828125,4766900000,6046.475679778376,6040.69794921875,6041.53611854564,6043.44794921875,6022.972604017068,6009.006030273437,-0.009464770111542897,-0.002406999269663257,51.28055121617314
2025-02-10,6066.43994140625,6073.3798828125,6044.83984375,6046.39990234375,4458760000,6053.130433654334,6055.07197265625,6046.064086338479,6048.86396484375,6027.112350435085,6020.976025390625,0.006712541085862833,0.011989203444947139,54.74885547715375
2025-02-11,6068.5,6076.27978515625,6042.33984375,6049.31982421875,4324880000,6058.253622436223,6061.19599609375,6050.143343367847,6048.9439453125,6031.05403134603,6032.590014648437,0.00033958278885926063,0.0050713359294647375,54.9248506974564
2025-02-12,6051.97021484375,6063.0,6003.0,6025.080078125,4627960000,6056.159153238732,6059.29404296875,6050.47550181801,6050.2099609375,6033.046048822003,6043.043017578125,-0.0027238667143857365,-0.0015688850999495685,53.13895283963381
2025-02-13,6115.06982421875,6116.91015625,6050.9501953125,6060.58984375,4763800000,6075.796043565405,6065.59404296875,6062.21992407269,6054.599951171875,6040.857836955027,6051.301000976562,0.010426292122230674,0.0051778809005524895,58.664273098423365
2025-02-14,6114.6298828125,6127.47021484375,6107.6201171875,6115.52001953125,4335190000,6088.74065664777,6083.32197265625,6071.749007479928,6062.0099609375,6047.88374608431,6060.165502929687,-7.194380749464546e-05,0.014709557266100237,58.61238261772817
2025-02-18,6129.580078125,6129.6298828125,6099.509765625,6121.60009765625,4684980000,6102.35379714018,6095.95,6082.263747597213,6075.510986328125,6055.664349135804,6066.811499023437,0.0024449877750611915,0.010408103818483339,59.910116099803375
2025-02-19,6144.14990234375,6147.43017578125,6111.14990234375,6117.759765625,4562330000,6116.285832208037,6111.07998046875,6093.515775732947,6086.13798828125,6064.091544679418,6071.556982421875,0.0023769693899173827,0.012465996925723033,61.18737867863005
2025-02-20,6117.52001953125,6134.5,6084.58984375,6134.5,4813690000,6116.697227982442,6124.18994140625,6097.880183696275,6091.7419921875,6069.179970855783,6073.114477539062,-0.0043341850761716705,0.010831151238438919,57.57667696272601
2025-02-21,6013.1298828125,6114.81982421875,6008.56005859375,6114.10009765625,5434560000,6082.174779592462,6103.801953125,6082.471038081043,6084.697998046875,6063.8418672326125,6067.835473632813,-0.01706412670256352,-0.01667028248843805,46.09387492249623
